tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0480687,movie,Hall Pass,Hall Pass,0,2011,\N,105,"Comedy,Romance",5.8,120250
tt1692486,movie,Carnage,Carnage,0,2011,\N,80,"Comedy,Drama",7.2,120073
tt0251075,movie,Evolution,Evolution,0,2001,\N,101,"Comedy,Sci-Fi",6.1,119835
tt0184894,movie,Shanghai Noon,Shanghai Noon,0,2000,\N,110,"Action,Adventure,Comedy",6.6,119788
tt5814060,movie,The Nun,The Nun,0,2018,\N,96,"Horror,Mystery,Thriller",5.3,119744
tt0455824,movie,Australia,Australia,0,2008,\N,165,"Adventure,Comedy,Drama",6.6,119557
tt0096928,movie,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,0,1989,\N,90,"Adventure,Comedy,Music",7.0,119520
tt0117438,movie,Ransom,Ransom,0,1996,\N,121,"Action,Crime,Thriller",6.7,119470
tt0120794,movie,The Prince of Egypt,The Prince of Egypt,0,1998,\N,99,"Adventure,Animation,Drama",7.1,119460
tt0268695,movie,The Time Machine,The Time Machine,0,2002,\N,96,"Action,Adventure,Sci-Fi",6.0,118809
tt4302938,movie,Kubo and the Two Strings,Kubo and the Two Strings,0,2016,\N,101,"Action,Adventure,Animation",7.8,118757
tt0790736,movie,R.I.P.D.,R.I.P.D.,0,2013,\N,96,"Action,Adventure,Comedy",5.6,118553
tt0482606,movie,The Strangers,The Strangers,0,2008,\N,86,"Horror,Thriller",6.2,118506
tt0117731,movie,Star Trek: First Contact,Star Trek: First Contact,0,1996,\N,111,"Action,Adventure,Drama",7.6,118497
tt0161081,movie,What Lies Beneath,What Lies Beneath,0,2000,\N,130,"Drama,Horror,Mystery",6.6,118305
tt0338564,movie,Infernal Affairs,Mou gaan dou,0,2002,\N,101,"Action,Crime,Drama",8.0,118238
tt0431197,movie,The Kingdom,The Kingdom,0,2007,\N,110,"Action,Drama,Thriller",7.0,118202
tt0079944,movie,Stalker,Stalker,0,1979,\N,162,"Drama,Sci-Fi",8.2,118192
tt5308322,movie,Happy Death Day,Happy Death Day,0,2017,\N,96,"Comedy,Horror,Mystery",6.6,118169
tt2388715,movie,Oculus,Oculus,0,2013,\N,104,"Horror,Mystery",6.5,117931
tt0418689,movie,Flags of Our Fathers,Flags of Our Fathers,0,2006,\N,135,"Action,Adventure,Drama",7.1,117907
tt1615147,movie,Margin Call,Margin Call,0,2011,\N,107,"Drama,Thriller",7.1,117735
tt1524137,movie,Contraband,Contraband,0,2012,\N,109,"Action,Crime,Drama",6.5,117380
tt0870984,movie,Antichrist,Antichrist,0,2009,\N,108,"Drama,Horror,Thriller",6.6,117247
tt0112431,movie,Babe,Babe,0,1995,\N,91,"Comedy,Drama,Family",6.8,117208
tt0063350,movie,Night of the Living Dead,Night of the Living Dead,0,1968,\N,96,"Horror,Thriller",7.9,117132
tt3829266,movie,The Predator,The Predator,0,2018,\N,107,"Action,Adventure,Sci-Fi",5.3,117098
tt1937390,movie,Nymphomaniac: Vol. I,Nymphomaniac: Vol. I,0,2013,\N,117,Drama,6.9,117085
tt2402927,movie,Carol,Carol,0,2015,\N,118,"Drama,Romance",7.2,117022
tt1131734,movie,Jennifer's Body,Jennifer's Body,0,2009,\N,102,"Comedy,Horror",5.2,116945
tt3531824,movie,Nerve,Nerve,0,2016,\N,96,"Adventure,Crime,Drama",6.5,116890
tt0216216,movie,The 6th Day,The 6th Day,0,2000,\N,123,"Action,Mystery,Sci-Fi",5.9,116844
tt0107977,movie,Robin Hood: Men in Tights,Robin Hood: Men in Tights,0,1993,\N,104,"Adventure,Comedy,Musical",6.7,116811
tt0120657,movie,The 13th Warrior,The 13th Warrior,0,1999,\N,102,"Action,Adventure,History",6.6,116809
